0,Q,default/77532.java_main,167,247
1,R,default/71774.java_main,167,247,100,T1
2,R,default/6763.java_main,167,247,100,T1
3,R,default/63465.java_main,167,247,100,T1
4,R,default/54249.java_main,167,247,100,T1
5,R,default/37863.java_main,167,247,100,T1
6,R,default/134888.java_main,167,247,100,T1
7,R,default/131341.java_main,167,247,100,T1
8,R,default/129277.java_main,167,247,100,T1
9,R,default/11235.java_main,167,247,100,T1
10,R,selected/1693534.java_main,81,161,99,T1
11,R,selected/2689573.java_squeeze,92,322,50,F
12,R,selected/1094474.java_runGowerMetricThreadedMemory,40,449,42,F
13,R,selected/2277558.java_method,1,1242,58,F
14,R,selected/1867580.java_populateGO,43,199,48,F
15,R,default/68093.java_track,166,854,36,F
16,R,selected/1963974.java_ConflatePumsTractsPQTest,360,887,37,F
17,R,selected/2221655.java_process,350,750,44,F
18,R,selected/955150.java_readit,215,891,41,F
19,R,selected/721923.java_process,389,1067,35,F
20,R,selected/41801.java_deserialize,741,1055,48,F
21,R,selected/1759158.java_main,49,404,54,F
22,R,selected/2203842.java_ConflatePumsTracts,361,723,35,F
23,R,selected/2226629.java_main,37,323,53,F
24,R,selected/2219300.java_main,20,194,43,F
25,R,selected/655623.java_tryAdaptiveCoding,758,904,49,F
26,R,selected/2116899.java_prepareDataForReception,142,273,50,F
27,R,selected/794257.java_main,42,319,54,F
28,R,default/98947.java_method,1,493,51,F
29,R,default/7025.java_method,1,493,51,F
30,R,default/41436.java_method,1,493,51,F
31,R,default/35380.java_method,1,493,51,F
32,R,default/106099.java_method,1,493,51,F
33,R,selected/719750.java_method,1,1230,71,F
34,R,selected/1791099.java_method,1,941,57,F
35,R,selected/1029143.java_viewSVMmodelsInNLPFeatures,1041,1170,45,F
36,R,selected/342569.java_run,168,541,37,F
37,R,selected/1697335.java_calculateCentralityStat,683,938,43,F
38,R,selected/162419.java_pieceReorderTest,40,347,44,F
39,R,selected/1498959.java_invertMatrix,256,342,47,F
40,R,selected/104047.java_method,1,961,69,F
41,R,selected/466967.java_main,15,528,52,F
42,R,selected/1387815.java_compile,538,945,46,F
43,R,selected/2146875.java_run,195,513,39,F
44,R,selected/55555.java_method,1,1569,76,F
45,R,selected/2735301.java_method,1,1971,76,F
46,R,selected/588673.java_createCharinfo,349,498,49,F
47,R,selected/675849.java_doBackward,279,554,35,F
48,R,selected/2521103.java_main,18,182,47,F
49,R,selected/177482.java_main2,202,373,52,F
50,R,selected/275429.java_main,151,304,48,F

0,Q,default/70495.java_createOutputStream,31,61
1,R,selected/261718.java_createOutputStream,40,70,100,T1
2,R,default/95696.java_createOutputStream,31,61,100,T1
3,R,default/92368.java_createOutputStream,31,61,100,T1
4,R,default/76550.java_createOutputStream,31,61,100,T1
5,R,default/74210.java_createOutputStream,116,146,100,T1
6,R,default/41293.java_createOutputStream,116,146,100,T1
7,R,default/17633.java_createOutputStream,31,61,100,T1
8,R,default/119082.java_createOutputStream,31,61,100,T1
9,R,selected/1156117.java_createWriter,61,87,96,T3
10,R,selected/1603133.java_createWriter,65,91,96,T3
11,R,selected/2117277.java_unzip,28,46,69,F
12,R,selected/1502074.java_unzip,26,44,69,F
13,R,selected/1065583.java_getFilesStringFromZipStream,433,466,64,F
14,R,selected/1334323.java_unzip,94,121,65,F
15,R,selected/1995542.java_bufferedStreamCopy,10,21,51,F
16,R,selected/2337215.java_unzipModel,109,130,66,F
17,R,selected/2555722.java_writeStreamToFile,160,172,55,F
18,R,selected/1065583.java_getFilesFromStream,254,299,55,F
19,R,selected/1200879.java_unzipArchive,309,325,69,F
