0,Q,default/77532.java,main,167,247,,,
1,R,default/71774.java,main,167,247,100,T1,M
2,R,default/6763.java,main,167,247,100,T1,M
3,R,default/63465.java,main,167,247,100,T1,M
4,R,default/54249.java,main,167,247,100,T1,M
5,R,default/37863.java,main,167,247,100,T1,M
6,R,default/134888.java,main,167,247,100,T1,M
7,R,default/131341.java,main,167,247,100,T1,M
8,R,default/129277.java,main,167,247,100,T1,M
9,R,default/11235.java,main,167,247,100,T1,M
10,R,selected/1693534.java,main,81,161,99,T1,M
11,R,selected/2689573.java,squeeze,92,322,50,F,M
12,R,selected/1094474.java,runGowerMetricThreadedMemory,40,449,42,F,M
13,R,selected/2277558.java,method,1,1242,58,F,M
14,R,selected/1963974.java,ConflatePumsTractsPQTest,360,887,37,F,M
15,R,selected/955150.java,readit,215,891,41,F,M
16,R,selected/1867580.java,populateGO,43,199,48,F,M
17,R,selected/2226629.java,main,37,323,53,F,M
18,R,selected/2221655.java,process,350,750,44,F,M
19,R,selected/162419.java,pieceReorderTest,40,347,44,F,M
20,R,selected/794257.java,main,42,319,54,F,M
21,R,selected/1029143.java,viewSVMmodelsInNLPFeatures,1041,1170,45,F,M
22,R,selected/1759158.java,main,49,404,54,F,M
23,R,selected/1791099.java,method,1,941,57,F,M
24,R,selected/41801.java,deserialize,741,1055,48,F,M
25,R,default/68093.java,track,166,854,36,F,M
26,R,selected/104047.java,method,1,961,69,F,M
27,R,selected/721923.java,process,389,1067,35,F,M
28,R,selected/2203842.java,ConflatePumsTracts,361,723,35,F,M
29,R,selected/342569.java,run,168,541,37,F,M
30,R,selected/55555.java,method,1,1569,76,F,M
31,R,selected/1615422.java,main,754,902,53,F,N
32,R,selected/719750.java,method,1,1230,71,F,M
33,R,selected/8926.java,annotateModeAttribute,985,1092,51,F,N
34,R,selected/2219300.java,main,20,194,43,F,M
35,R,selected/655623.java,tryAdaptiveCoding,758,904,49,F,M
36,R,default/98947.java,method,1,493,51,F,M
37,R,default/7025.java,method,1,493,51,F,M
38,R,default/41436.java,method,1,493,51,F,M
39,R,default/35380.java,method,1,493,51,F,M
40,R,default/106099.java,method,1,493,51,F,M
41,R,selected/466967.java,main,15,528,52,F,M
42,R,selected/1317025.java,extractKeyphrases,302,428,50,F,N
43,R,selected/1697335.java,calculateCentralityStat,683,938,43,F,M
44,R,selected/1387815.java,compile,538,945,46,F,M
45,R,default/917.java,method,1,1312,64,F,N
46,R,default/129404.java,method,1,1312,64,F,N
47,R,default/110076.java,method,1,1312,64,F,N
48,R,selected/1960292.java,main,26,220,50,F,N
49,R,selected/580850.java,pruneEdges,180,359,49,F,N
50,R,selected/376371.java,pruneEdges,180,359,49,F,N
0,Q,default/70495.java,createOutputStream,31,61,,,
1,R,selected/261718.java,createOutputStream,40,70,100,T1,M
2,R,default/95696.java,createOutputStream,31,61,100,T1,M
3,R,default/92368.java,createOutputStream,31,61,100,T1,M
4,R,default/76550.java,createOutputStream,31,61,100,T1,M
5,R,default/74210.java,createOutputStream,116,146,100,T1,M
6,R,default/41293.java,createOutputStream,116,146,100,T1,M
7,R,default/17633.java,createOutputStream,31,61,100,T1,M
8,R,default/119082.java,createOutputStream,31,61,100,T1,M
9,R,selected/1156117.java,createWriter,61,87,96,T3,M
10,R,selected/1603133.java,createWriter,65,91,96,T3,M
11,R,selected/2117277.java,unzip,28,46,69,F,M
12,R,selected/1502074.java,unzip,26,44,69,F,M
13,R,selected/1334323.java,unzip,94,121,65,F,M
14,R,selected/1294348.java,main,18,46,63,F,M
15,R,selected/2263067.java,unzipBitstream,307,332,63,F,M
16,R,selected/1065583.java,getFilesFromStream,254,299,55,F,M
17,R,selected/1200879.java,unzipArchive,309,325,69,F,M
18,R,selected/361440.java,extractCompressedFile,360,393,66,F,M
19,R,selected/1584499.java,unzip,120,151,64,F,M
20,R,selected/2617628.java,unzip,107,129,65,F,M
21,R,selected/2140014.java,unzip,101,123,65,F,M
22,R,selected/2146328.java,unzipFile,246,292,64,F,M
23,R,selected/686535.java,unjar,42,74,66,F,N
24,R,selected/193340.java,unzip,140,160,66,F,M
25,R,selected/1065583.java,getFilesFromStreamOnlyRootFiles,916,972,51,F,M
26,R,default/38145.java,main,9,37,61,F,M
27,R,selected/848052.java,unzipFileOld,417,466,60,F,M
28,R,selected/610408.java,decompress,54,85,64,F,N
29,R,selected/1065583.java,getFilesStringFromZipStream,433,466,64,F,M
30,R,selected/2078518.java,extractFile,467,496,57,F,N
31,R,selected/1814720.java,unzip,18,45,65,F,M
32,R,selected/2337215.java,unzipModel,109,130,66,F,M
33,R,selected/1065583.java,getDirFilesOnlyFromZipStream,343,420,52,F,N
34,R,selected/1334323.java,untar,123,150,64,F,M
35,R,selected/3647.java,getJMenuItemOpen,948,1016,53,F,M
36,R,selected/2227623.java,unpackArchive,338,377,61,F,N
37,R,selected/2179135.java,encryptFile,27,67,58,F,N
38,R,selected/193372.java,encryptFile,39,79,56,F,N
39,R,selected/1175673.java,copyLastModel,28,59,63,F,M
40,R,selected/185862.java,unzip,39,70,65,F,M
41,R,selected/2556157.java,unzip,217,245,65,F,M
42,R,selected/268530.java,unzipFile,80,104,67,F,M
43,R,selected/1511168.java,unzipStream,162,186,67,F,M
44,R,selected/1773077.java,decompressFile,861,889,65,F,M
45,R,selected/2271974.java,getReqResArchive,119,159,62,F,N
46,R,selected/1044495.java,unzipBitstream,124,150,63,F,N
47,R,selected/603827.java,decompress,52,82,65,F,N
