0,Q,default/77532.java,main,167,247,,
1,R,default/71774.java,main,167,247,100,T1
2,R,default/6763.java,main,167,247,100,T1
3,R,default/63465.java,main,167,247,100,T1
4,R,default/54249.java,main,167,247,100,T1
5,R,default/37863.java,main,167,247,100,T1
6,R,default/134888.java,main,167,247,100,T1
7,R,default/131341.java,main,167,247,100,T1
8,R,default/129277.java,main,167,247,100,T1
9,R,default/11235.java,main,167,247,100,T1
10,R,selected/1693534.java,main,81,161,99,T1
11,R,default/68093.java,track,166,854,26,F
12,R,selected/2221655.java,process,350,750,39,F
13,R,selected/2277558.java,method,1,1242,49,F
14,R,selected/1094474.java,runGowerMetricThreadedMemory,40,449,37,F
15,R,selected/648778.java,createMosaic,39,139,45,F
16,R,default/96783.java,Huft,413,576,45,F
17,R,default/71298.java,Huft,413,576,45,F
18,R,default/118576.java,Huft,413,576,45,F
19,R,default/107585.java,Huft,413,576,45,F
20,R,default/106097.java,Huft,413,576,45,F
21,R,selected/1697335.java,calculateCentralityStat,683,938,38,F
22,R,default/98947.java,method,1,493,42,F
23,R,default/7025.java,method,1,493,42,F
24,R,default/41436.java,method,1,493,42,F
25,R,default/35380.java,method,1,493,42,F
26,R,default/106099.java,method,1,493,42,F
27,R,selected/41755.java,readByteArray,273,286,41,F
28,R,selected/1059611.java,readByteArray,277,290,41,F
29,R,selected/719750.java,method,1,1230,66,F
30,R,selected/2689573.java,squeeze,92,322,42,F
31,R,selected/1264136.java,loadROM,778,806,49,F
32,R,selected/1867580.java,populateGO,43,199,43,F
33,R,selected/721923.java,process,389,1067,31,F
34,R,selected/2219300.java,main,20,194,37,F
35,R,selected/41801.java,deserialize,741,1055,43,F
36,R,selected/655623.java,tryAdaptiveCoding,758,904,46,F
37,R,selected/1539021.java,load,10,42,46,F
38,R,selected/588673.java,createCharinfo,349,498,45,F
39,R,selected/2116899.java,prepareDataForReception,142,273,46,F
40,R,selected/675849.java,doBackward,279,554,31,F
41,R,selected/8866.java,load,117,149,46,F
42,R,selected/2316700.java,load,11,43,46,F
43,R,selected/1498959.java,invertMatrix,256,342,45,F
44,R,selected/991506.java,main,162,242,46,F
45,R,selected/710252.java,process,389,964,29,F
46,R,default/9758.java,method377,224,290,44,F
47,R,selected/1926292.java,recover,131,178,44,F
48,R,default/917.java,method,1,1312,55,F
49,R,default/129404.java,method,1,1312,55,F
50,R,default/110076.java,method,1,1312,55,F
0,Q,default/70495.java,createOutputStream,31,61,,
1,R,selected/261718.java,createOutputStream,40,70,100,T1
2,R,default/95696.java,createOutputStream,31,61,100,T1
3,R,default/92368.java,createOutputStream,31,61,100,T1
4,R,default/76550.java,createOutputStream,31,61,100,T1
5,R,default/74210.java,createOutputStream,116,146,100,T1
6,R,default/41293.java,createOutputStream,116,146,100,T1
7,R,default/17633.java,createOutputStream,31,61,100,T1
