0,Q,default/77532.java,main,167,247,,,,
1,R,default/71774.java,main,167,247,100,T1,,
2,R,default/6763.java,main,167,247,100,T1,,
3,R,default/63465.java,main,167,247,100,T1,,
4,R,default/54249.java,main,167,247,100,T1,,
5,R,default/37863.java,main,167,247,100,T1,,
6,R,default/134888.java,main,167,247,100,T1,,
7,R,default/131341.java,main,167,247,100,T1,,
8,R,default/129277.java,main,167,247,100,T1,,
9,R,default/11235.java,main,167,247,100,T1,,
10,R,selected/1693534.java,main,81,161,99,T1,,
11,R,selected/2689573.java,squeeze,92,322,48,F,,
12,R,selected/1094474.java,runGowerMetricThreadedMemory,40,449,42,F,,
13,R,selected/2277558.java,method,1,1242,58,F,,
14,R,selected/1867580.java,populateGO,43,199,47,F,,
15,R,default/68093.java,track,166,854,35,F,,
16,R,selected/1963974.java,ConflatePumsTractsPQTest,360,887,37,F,,
17,R,selected/2221655.java,process,350,750,43,F,,
18,R,selected/955150.java,readit,215,891,39,F,,
19,R,selected/721923.java,process,389,1067,35,F,,
20,R,selected/41801.java,deserialize,741,1055,48,F,,
21,R,selected/1759158.java,main,49,404,52,F,,
22,R,selected/2203842.java,ConflatePumsTracts,361,723,35,F,,
23,R,selected/2226629.java,main,37,323,51,F,,
24,R,selected/2219300.java,main,20,194,42,F,,
25,R,selected/655623.java,tryAdaptiveCoding,758,904,48,F,,
26,R,selected/2116899.java,prepareDataForReception,142,273,49,F,,
27,R,selected/794257.java,main,42,319,53,F,,
28,R,default/98947.java,method,1,493,50,F,,
29,R,default/7025.java,method,1,493,50,F,,
30,R,default/41436.java,method,1,493,50,F,,
31,R,default/35380.java,method,1,493,50,F,,
32,R,default/106099.java,method,1,493,50,F,,
33,R,selected/1791099.java,method,1,941,56,F,,
34,R,selected/719750.java,method,1,1230,71,F,,
35,R,selected/1029143.java,viewSVMmodelsInNLPFeatures,1041,1170,44,F,,
36,R,selected/342569.java,run,168,541,37,F,,
37,R,selected/1697335.java,calculateCentralityStat,683,938,42,F,,
38,R,selected/162419.java,pieceReorderTest,40,347,43,F,,
39,R,selected/1498959.java,invertMatrix,256,342,46,F,,
40,R,selected/104047.java,method,1,961,68,F,,
41,R,selected/466967.java,main,15,528,51,F,,
42,R,selected/1387815.java,compile,538,945,45,F,,
43,R,selected/2146875.java,run,195,513,39,F,,
44,R,selected/55555.java,method,1,1569,75,F,,
45,R,selected/588673.java,createCharinfo,349,498,48,F,,
46,R,selected/2735301.java,method,1,1971,75,F,,
47,R,selected/675849.java,doBackward,279,554,35,F,,
48,R,selected/2521103.java,main,18,182,46,F,,
49,R,selected/177482.java,main2,202,373,51,F,,
50,R,selected/275429.java,main,151,304,47,F,,
0,Q,default/70495.java,createOutputStream,31,61,,,,
1,R,selected/261718.java,createOutputStream,40,70,100,T1,,
