sample,TestPalindrome.java,2,13,Q,,,,
selected,2597353.java,113,118,,F,0,CR,
selected,2729385.java,362,374,,F,0,CR,
selected,1164157.java,396,405,,F,0,CR,
selected,436868.java,46,82,,F,0,CR,
selected,130952.java,59,66,,F,0,CR,
selected,1984474.java,26,36,,F,0,CR,
selected,427108.java,46,56,,F,0,CR,
selected,12059.java,207,217,,F,0,CR,
default,99274.java,12,29,,F,0,CR,
default,98564.java,12,29,,F,,,
sample,BubbleSort.java,93,109,Q,,,,
selected,2267313.java,7,20,,T,3,CR,
selected,2076076.java,687,704,,T,3,CR,
selected,2076076.java,715,736,,T,3,CR,
selected,2076076.java,752,769,,T,3,CR,
selected,475822.java,17,25,,T,3,CR,
selected,411336.java,632,651,3,T,3,,
selected,1771786.java,220,239,3,T,3,,
selected,1219912.java,39,59,3,T,3,,
selected,671771.java,148,182,,T,3,CR,
selected,2707547.java,148,182,,T,3,CR,
sample,FTP_ApacheCommonsNet_Samples.java,62,67,Q,,,,
selected,1882302.java,50,55,,F,0,CR,
selected,943597.java,15,20,3,T,3,,
selected,1382999.java,126,136,,F,1,CR,
selected,730855.java,43,56,,F,1,CR,
selected,201640.java,356,362,,F,0,CR,
selected,560321.java,104,109,,F,0,CR,
selected,12355.java,104,109,,F,0,CR,
selected,2482353.java,514,524,,F,0,CR,
selected,766326.java,20,34,3,T,3,CR,
selected,201640.java,347,354,,F,0,CR,
sample,Fibonacci.java,3,10,Q,,,,
default,74994.java,1506,1512,,F,0,CR,
default,51560.java,902,908,,F,0,CR,
default,32744.java,875,881,,F,0,CR,
selected,2467423.java,235,241,,F,0,CR,
selected,1709354.java,235,241,,F,0,CR,
selected,1392758.java,91,96,,F,0,CR,
selected,1889173.java,340,345,,F,0,CR,
selected,1267916.java,11,31,,F,0,CR,
selected,2107174.java,104,124,,F,0,CR,
selected,999149.java,44,65,,F,0,CR,
sample,FTP_ApacheCommonsNet_Samples.java,69,75,Q,,,,
selected,1450277.java,76,125,,F,1,CR,
selected,1882302.java,50,55,,F,0,CR,
selected,943597.java,15,20,3,T,3,CR,
selected,270495.java,52,95,,F,1,CR,
selected,2196152.java,55,98,,F,1,CR,
selected,1382999.java,126,136,,F,2,CR,
selected,2053289.java,42,49,,F,0,CR,
selected,730855.java,43,56,,F,2,CR,
selected,2546068.java,66,104,,F,1,CR,
selected,1605111.java,43,73,,F,1,CR,
sample,DownloadWebpage.java,32,53,Q,,,,
selected,870802.java,100,109,,F,0,CR,* Mostly found code for reading file
