sample,TestPalindrome.java,2,13,Q,,,
selected,2729385.java,362,374,,F,0,CR
default,99274.java,12,29,,F,,
default,98564.java,12,29,,F,,
default,92666.java,12,29,,F,,
default,89411.java,12,29,,F,,
default,88228.java,12,29,,F,,
default,83209.java,12,29,,F,,
default,81765.java,12,29,,F,,
default,81460.java,12,29,,F,,
default,80987.java,12,29,,F,,
sample,BubbleSort.java,93,109,Q,,,
selected,2267313.java,7,20,,T,3,CR
selected,2076076.java,687,704,,F,,
selected,2076076.java,715,736,,F,,
selected,2076076.java,752,769,,F,,
selected,475822.java,17,25,,F,,
selected,671771.java,148,182,,F,,
selected,2707547.java,148,182,,F,,
selected,253895.java,110,144,,F,,
selected,1448277.java,223,232,,F,,
selected,1434066.java,204,247,,F,,
sample,FTP_ApacheCommonsNet_Samples.java,62,67,Q,,,
selected,1882302.java,50,55,,F,0,CR
selected,1987180.java,25,43,3,T,,
selected,305499.java,19,27,3,T,,
selected,766326.java,20,34,3,T,,
selected,943597.java,15,20,3,T,,
selected,1382999.java,126,136,,F,,
selected,730855.java,43,56,,F,,
selected,1120436.java,19,25,3,T,,
selected,2422816.java,58,79,3,T,,
selected,468123.java,55,67,3,T,,
sample,Fibonacci.java,3,10,Q,,,
default,74994.java,1506,1512,,F,0,CR
default,51560.java,902,908,,F,,
default,32744.java,875,881,,F,,
selected,2467423.java,235,241,,F,,
selected,1709354.java,235,241,,F,,
selected,1267916.java,11,31,,F,,
selected,2704131.java,507,513,3,T,,
selected,1841070.java,87,92,,F,,
selected,651954.java,40,45,,F,,
selected,537080.java,49,54,,F,,
sample,FTP_ApacheCommonsNet_Samples.java,69,75,Q,,,
selected,1882302.java,50,55,,F,0,CR
selected,1987180.java,25,43,3,T,,
selected,46933.java,57,83,,F,,
selected,305499.java,19,27,3,T,,
selected,1382999.java,126,136,,F,,
selected,270495.java,52,95,,F,,
selected,2196152.java,55,98,,F,,
selected,943597.java,15,20,3,T,,
selected,766326.java,20,34,3,T,,
selected,1450277.java,76,125,,F,,
sample,DownloadWebpage.java,32,53,Q,,,
selected,2744705.java,37,67,,F,0,CR
selected,450160.java,444,485,,F,,
selected,262674.java,143,167,3,T,,
selected,2711868.java,50,63,,F,,
selected,2711868.java,136,161,,F,,
selected,2126920.java,65,87,,F,,
selected,1912458.java,90,112,,F,,
selected,1549163.java,61,92,,F,,
selected,1017847.java,53,62,,F,,
selected,2245574.java,73,137,,F,,
sample,FTP_ApacheCommonsNet_Samples.java,47,53,Q,,,
selected,756989.java,34,43,,T,3,CR
selected,1000320.java,32,41,,F,,
selected,1111640.java,57,74,3,T,,
selected,675051.java,170,202,,F,,
selected,478016.java,97,163,3,T,,
selected,1899512.java,92,113,3,T,,
selected,1686395.java,92,113,3,T,,
selected,468123.java,55,67,3,T,,
selected,766326.java,20,34,3,T,,
selected,872169.java,52,60,3,T,,
sample,CopyFileSamples.java,55,61,Q,,,
selected,630556.java,94,101,,T,3,CR
selected,1214091.java,7,14,,F,,
selected,1820231.java,486,493,,F,,
selected,361894.java,107,113,,F,,
selected,68746.java,85,91,,F,,
selected,424829.java,21,29,,F,,
selected,1027339.java,56,63,,F,,
selected,1586896.java,15,21,,F,,
selected,1740735.java,449,455,,F,,
selected,547074.java,7,13,,F,,
sample,FileChooser.java,96,123,Q,,,
selected,408135.java,108,122,,T,3,CR
selected,2078477.java,53,66,,F,,
selected,2457462.java,85,94,,F,,
selected,726336.java,86,97,,F,,
selected,42189.java,37,60,,F,,
selected,261223.java,178,210,,F,,
selected,1013858.java,764,782,,F,,
default,69916.java,760,778,,F,,
selected,2323228.java,302,330,,F,,
default,63589.java,757,782,,F,,
sample,LoadFont.java,14,19,Q,,,
selected,1846343.java,89,101,3,T,3,CR
selected,2615621.java,14,30,3,T,,
selected,1502472.java,46,80,,F,,
selected,913202.java,577,586,,F,,
selected,2351939.java,56,61,,F,,
selected,2548782.java,151,179,,F,,
selected,2050767.java,33,41,,F,,
selected,2307474.java,92,110,3,T,,
selected,2028053.java,21,43,,F,,
selected,1634341.java,20,44,,F,,
sample,GCD.java,11,18,Q,,,
selected,2240537.java,44,57,,F,0,CR
selected,1179107.java,245,259,,F,,
selected,2735656.java,260,272,,F,,
selected,2456330.java,260,272,,F,,
selected,54335.java,184,199,,F,,
selected,2518339.java,117,125,,F,,
selected,943768.java,419,424,,F,,
selected,700821.java,57,62,,F,,
selected,296655.java,63,68,,F,,
selected,532352.java,37,42,,F,,
sample,ExecuteExternalProcessAndReadInput.java,38,54,Q,,,
selected,2429086.java,79,106,,T,3,CR
selected,2297379.java,77,104,,F,,
selected,219120.java,358,387,,F,,
selected,1097142.java,25,46,,F,,
selected,749558.java,441,474,,F,,
selected,1108549.java,59,115,,F,,
selected,2635054.java,36,75,,F,,
selected,2332793.java,149,177,,F,,
selected,132149.java,97,115,,F,,
selected,132149.java,117,135,,F,,
sample,EncryptFile.java,16,37,Q,,,
selected,1995913.java,96,106,,F,0,CR
selected,1995913.java,114,125,3,T,,
selected,2519419.java,82,115,3,T,,
selected,26322.java,60,90,,F,,
default,50457.java,23,50,3,T,,
selected,1538113.java,112,131,3,T,,
selected,1626807.java,305,326,3,T,,
selected,1538113.java,165,184,,F,,
selected,981117.java,577,594,,F,,
selected,2327337.java,86,108,,F,,
sample,BubbleSort.java,75,91,Q,,,
selected,2267313.java,7,20,,T,3,CR
selected,169026.java,1,213,,F,,
selected,649327.java,21,31,,F,,
selected,2076076.java,752,769,,F,,
selected,2076076.java,715,736,,F,,
selected,2076076.java,687,704,,F,,
selected,347585.java,97,117,,F,,
selected,161563.java,16,40,3,T,,
selected,606287.java,364,372,,F,,
selected,1433567.java,364,372,,F,,
sample,BubbleSort.java,57,73,Q,,,
selected,2267313.java,7,20,,T,3,CR
selected,2076076.java,687,704,,F,,
selected,2076076.java,715,736,,F,,
selected,2076076.java,752,769,,F,,
selected,475822.java,17,25,,F,,
selected,1448277.java,223,232,,F,,
selected,671771.java,148,182,,F,,
selected,2707547.java,148,182,,F,,
selected,253895.java,110,144,,F,,
selected,1434066.java,204,247,,F,,
sample,CreateRSAKeys.java,34,54,Q,,,
selected,576745.java,18,44,3,T,3,CR
selected,1984007.java,114,140,3,T,,
selected,714211.java,127,134,,F,,
selected,1022819.java,20,36,,F,,
selected,941431.java,58,71,,F,,
default,99272.java,25,31,,F,,
default,129190.java,25,31,,F,,
selected,1787816.java,47,55,,F,,
selected,1741543.java,53,60,,F,,
selected,608621.java,125,140,,F,,
sample,InstantiateNamedClassUsingReflection.java,7,12,Q,,,
selected,2282446.java,39,45,,T,3,CR
selected,1580512.java,39,45,,F,,
selected,2282446.java,32,37,,F,,
selected,1580512.java,32,37,,F,,
selected,1028166.java,63,70,,F,,
selected,2366019.java,33,38,,F,,
selected,296454.java,121,127,3,T,,
selected,2291441.java,142,152,,F,,
selected,1830290.java,32,37,,F,,
selected,2314628.java,11,16,,F,,
sample,ShuffleArrayInPlace.java,50,66,Q,,,
selected,1812293.java,181,190,,T,3,CR
selected,1918975.java,140,158,,F,,
selected,2419101.java,319,334,,F,,
selected,1686518.java,7,15,,F,,
selected,638635.java,37,47,,F,,
selected,88698.java,153,160,,F,,
selected,2400040.java,932,939,,F,,
selected,1663639.java,30,42,,F,,
selected,1369746.java,184,216,,F,,
selected,1369746.java,142,176,,F,,
sample,CopyDirectoryTree.java,18,27,Q,,,
selected,1122863.java,188,205,,F,0,CR
selected,1362834.java,90,123,,F,,
selected,1362834.java,125,162,,F,,
selected,1516404.java,121,137,,F,,
selected,1070198.java,76,92,,F,,
selected,2435652.java,262,282,3,T,,
selected,1137997.java,470,501,,F,,
selected,971253.java,86,96,,F,,
selected,1804094.java,306,312,,F,,
selected,1280243.java,82,95,,F,,
sample,OpenURLInSystemBrowser.java,8,15,Q,,,
selected,1349616.java,107,121,,F,0,CR
selected,916583.java,1126,1132,,F,,
selected,1632967.java,76,84,,F,,
selected,1336659.java,62,68,,F,,
selected,329230.java,398,404,,F,,
selected,1154916.java,378,384,,F,,
selected,1285847.java,36,42,,F,,
selected,734289.java,204,209,,F,,
selected,641953.java,149,163,,F,,
selected,641953.java,167,181,,F,,
sample,getMACAddresInStandardForm.java,9,25,Q,,,
selected,2706991.java,10,33,,T,3,CR
selected,440776.java,307,356,3,T,,
selected,1125396.java,101,153,3,T,,
selected,2544031.java,11,34,3,T,,
selected,2089940.java,382,400,,F,,
selected,460998.java,14,42,,F,,
selected,2347167.java,115,150,3,T,,
selected,1000127.java,107,129,,F,,
selected,558212.java,41,108,,F,,
selected,2365758.java,14,26,,F,,
sample,CopyFileSamples.java,42,53,Q,,,
selected,121619.java,262,272,,F,,
selected,1401753.java,62,70,,F,,
selected,2439161.java,195,207,,F,,
selected,2590206.java,121,130,,F,,
selected,527910.java,61,70,,F,,
selected,1809572.java,60,68,,F,,
selected,1335226.java,1248,1262,,F,,
selected,818894.java,137,147,,F,,
selected,1451344.java,110,120,,F,,
selected,521916.java,364,375,,F,,
sample,UnZip.java,3,44,Q,,,
selected,908651.java,236,274,,F,,
selected,2196770.java,123,154,,F,,
selected,304326.java,390,410,,F,,
selected,123295.java,24,53,,F,,
selected,138101.java,118,147,,F,,
selected,768367.java,197,233,,F,,
selected,1741414.java,205,241,,F,,
selected,1108107.java,181,194,,F,,
selected,1565465.java,1270,1294,,F,,
selected,1406991.java,1096,1120,,F,,
sample,FileChooser.java,67,94,Q,,,
selected,2078477.java,53,66,,F,,
selected,2457462.java,85,94,,F,,
selected,726336.java,86,97,,F,,
selected,42189.java,37,60,,F,,
selected,408135.java,108,122,,F,,
selected,1013858.java,764,782,,F,,
default,69916.java,760,778,,F,,
default,63589.java,757,782,,F,,
default,34119.java,757,782,3,T,,
selected,1364391.java,573,593,,F,,
sample,ShuffleArrayInPlace.java,34,48,Q,,,
selected,638635.java,37,47,,F,,
selected,273852.java,891,898,3,T,,
selected,1821592.java,891,898,3,T,,
selected,621967.java,62,67,,F,,
selected,1579977.java,90,95,,F,,
selected,581940.java,588,601,,F,,
selected,285130.java,586,599,,F,,
selected,860866.java,399,404,,F,,
selected,860866.java,382,387,,F,,
selected,1718839.java,500,513,,F,,
sample,MD5.java,2,11,Q,,,
selected,2234951.java,39,55,,F,,
selected,1635467.java,164,177,,F,,
selected,1200698.java,23,33,,F,,
selected,1014753.java,8,26,3,T,,
default,94895.java,71,88,,F,,
selected,1220031.java,34,44,3,T,,
selected,337401.java,41,50,3,T,,
selected,2202625.java,13,30,,F,,
selected,1785801.java,24,42,3,T,,
selected,2043823.java,62,140,3,T,,
sample,SendEMail.java,15,48,Q,,,
selected,1573959.java,43,69,,F,,
selected,1969561.java,31,68,,F,,
selected,1141745.java,317,352,,F,,
selected,1864319.java,115,132,,F,,
selected,441605.java,35,67,,F,,
selected,2693200.java,49,78,,F,,
selected,2693200.java,20,47,,F,,
selected,522298.java,127,147,,F,,
selected,2585329.java,111,136,,F,,
selected,1108355.java,111,132,,F,,
sample,ConnectToDatabaseJDBC.java,8,20,Q,,,
selected,971418.java,60,71,,F,,
selected,1603925.java,70,81,,F,,
selected,294552.java,195,219,,F,,
selected,2350352.java,25,35,,F,,
selected,2005747.java,164,181,,F,,
selected,2297821.java,540,555,,F,,
