23677226,sample,TestPalindrome.java,2,13,sample,TestPalindrome.java,2,13,selected,1340419.java,13,18,selected,1692342.java,24,30,selected,2099852.java,17,25,selected,415712.java,451,456,selected,1477292.java,414,422,selected,1628134.java,456,465,selected,540636.java,345,354,selected,2679356.java,345,354,selected,2363995.java,621,626,selected,296357.java,50,59,selected,1731427.java,85,94,selected,1628962.java,47,56,selected,994877.java,53,63,selected,186829.java,478,487,selected,1471168.java,327,336
23677138,sample,BubbleSort.java,93,109,sample,BubbleSort.java,93,109,sample,BubbleSort.java,21,37,sample,BubbleSort.java,165,181,sample,BubbleSort.java,129,145,sample,BubbleSort.java,57,73,sample,BubbleSort.java,201,217,sample,BubbleSort.java,238,254,default,87418.java,21,37,sample,BubbleSort.java,75,91,selected,1339849.java,72,85,sample,BubbleSort.java,147,163,sample,BubbleSort.java,111,127,sample,BubbleSort.java,3,19,sample,BubbleSort.java,39,55,sample,BubbleSort.java,183,199,selected,2343688.java,174,187
23677129,sample,FTP_ApacheCommonsNet_Samples.java,62,67,sample,FTP_ApacheCommonsNet_Samples.java,62,67,sample,FTP_ApacheCommonsNet_Samples.java,69,75,sample,FTP_ApacheCommonsNet_Samples.java,55,60,sample,FTP_ApacheCommonsNet_Samples.java,11,16,sample,FTP_ApacheCommonsNet_Samples.java,33,38,sample,FTP_ApacheCommonsNet_Samples.java,25,31,sample,FTP_ApacheCommonsNet_Samples.java,47,53,sample,FTP_ApacheCommonsNet_Samples.java,18,23,sample,FTP_ApacheCommonsNet_Samples.java,40,45,sample,FTP_FTP4J_Samples.java,15,20,selected,943597.java,15,20,sample,FTP_FTP4J_Samples.java,22,27,selected,2282501.java,15,25,selected,2626685.java,112,126,selected,189178.java,118,133,selected,1654038.java,111,126
23677175,sample,Fibonacci.java,3,10,sample,Fibonacci.java,3,10,selected,1674801.java,16,25,selected,592330.java,365,370,selected,592330.java,393,398,selected,1119757.java,22,27,selected,2467423.java,235,241,selected,1709354.java,235,241,selected,1392758.java,91,96,default,74994.java,1506,1512,default,51560.java,902,908,default,32744.java,875,881,default,122835.java,9,14,selected,1517928.java,51,57,default,27502.java,14,19,selected,843174.java,20,28,selected,1315228.java,12,17
23677130,sample,FTP_ApacheCommonsNet_Samples.java,69,75,sample,FTP_ApacheCommonsNet_Samples.java,69,75,sample,FTP_ApacheCommonsNet_Samples.java,55,60,sample,FTP_ApacheCommonsNet_Samples.java,62,67,sample,FTP_ApacheCommonsNet_Samples.java,25,31,sample,FTP_ApacheCommonsNet_Samples.java,47,53,sample,FTP_ApacheCommonsNet_Samples.java,11,16,sample,FTP_ApacheCommonsNet_Samples.java,33,38,sample,FTP_ApacheCommonsNet_Samples.java,18,23,sample,FTP_ApacheCommonsNet_Samples.java,40,45,sample,FTP_FTP4J_Samples.java,15,20,selected,943597.java,15,20,selected,2282501.java,15,25,sample,FTP_FTP4J_Samples.java,22,27,selected,730855.java,43,56,selected,2626685.java,112,126,selected,189178.java,118,133
23677112,sample,DownloadWebpage.java,32,53,sample,DownloadWebpage.java,32,53,sample,DownloadWebpage.java,20,30,selected,1286479.java,59,102,sample,DownloadWebpage.java,55,67,selected,129106.java,331,343,selected,237460.java,240,249,selected,1688089.java,265,274,selected,113970.java,265,274,selected,237460.java,259,268,selected,1688089.java,284,293,selected,113970.java,284,293,selected,2024562.java,31,56,selected,756606.java,328,337,selected,1063147.java,425,434,selected,1360732.java,18,36,selected,481749.java,250,278
23677127,sample,FTP_ApacheCommonsNet_Samples.java,47,53,sample,FTP_ApacheCommonsNet_Samples.java,47,53,sample,FTP_ApacheCommonsNet_Samples.java,25,31,sample,FTP_ApacheCommonsNet_Samples.java,33,38,sample,FTP_ApacheCommonsNet_Samples.java,40,45,sample,FTP_ApacheCommonsNet_Samples.java,11,16,sample,FTP_ApacheCommonsNet_Samples.java,18,23,sample,FTP_FTP4J_Samples.java,15,20,sample,FTP_ApacheCommonsNet_Samples.java,69,75,sample,FTP_ApacheCommonsNet_Samples.java,55,60,sample,FTP_ApacheCommonsNet_Samples.java,62,67,sample,FTP_FTP4J_Samples.java,22,27,selected,2282501.java,15,25,selected,21175.java,69,83,selected,2288080.java,25,31,selected,943597.java,15,20,selected,2626685.java,112,126
23677117,sample,CopyFileSamples.java,55,61,sample,CopyFileSamples.java,55,61,sample,CopyFileSamples.java,63,69,selected,734567.java,14,24,sample,CopyFileSamples.java,42,53,selected,1720162.java,15,21,selected,300610.java,56,65,selected,100454.java,56,66,selected,836722.java,118,126,selected,1823751.java,50,58,selected,77754.java,849,857,selected,591946.java,827,835,selected,499481.java,849,857,selected,2455851.java,855,863,selected,2077739.java,747,755,selected,684416.java,40,46,selected,1704283.java,46,56
23677198,sample,FileChooser.java,96,123,sample,FileChooser.java,96,123,sample,FileChooser.java,67,94,sample,FileChooser.java,38,65,sample,FileChooser.java,9,36,selected,2174721.java,90,107,selected,311720.java,105,114,selected,364620.java,29,37,selected,2628336.java,172,182,selected,2037092.java,577,588,selected,977186.java,250,259,selected,2062971.java,79,91,selected,1234684.java,188,201,selected,121433.java,14,27,selected,845572.java,157,167,selected,770870.java,180,188,selected,1806957.java,17,39
23677162,sample,LoadFont.java,14,19,sample,LoadFont.java,14,19,sample,LoadFont.java,21,26,selected,2055524.java,27,45,selected,2340916.java,398,427,selected,2584533.java,68,89,default,131555.java,11,20,selected,1238225.java,19,33,selected,948406.java,326,355,selected,1978177.java,82,91,selected,169000.java,212,221,selected,1113584.java,97,102,selected,2261893.java,1191,1198,selected,383097.java,247,269,selected,1446312.java,22,36,selected,2064356.java,208,224,selected,2171065.java,47,56
