23677226,sample,TestPalindrome.java,2,13,sample,TestPalindrome.java,2,13,selected,1948185.java,9,15,selected,1392002.java,48,54,default,87112.java,666,673,default,67761.java,666,673,default,34292.java,666,673,default,135087.java,666,673,selected,1298639.java,81,86,selected,1978967.java,758,772,selected,1339918.java,73,79,selected,948342.java,770,776,selected,519632.java,712,718,selected,382385.java,704,710,selected,2212197.java,557,563,selected,1218816.java,710,716
23677138,sample,BubbleSort.java,93,109,sample,BubbleSort.java,93,109,sample,BubbleSort.java,21,37,sample,BubbleSort.java,165,181,sample,BubbleSort.java,129,145,sample,BubbleSort.java,57,73,sample,BubbleSort.java,201,217,sample,BubbleSort.java,238,254,sample,BubbleSort.java,75,91,sample,BubbleSort.java,219,236,sample,BubbleSort.java,3,19,sample,BubbleSort.java,147,163,sample,BubbleSort.java,111,127,sample,BubbleSort.java,39,55,sample,BubbleSort.java,183,199,selected,2141949.java,767,831
23677129,sample,FTP_ApacheCommonsNet_Samples.java,62,67,sample,FTP_ApacheCommonsNet_Samples.java,62,67,sample,FTP_ApacheCommonsNet_Samples.java,55,60,sample,FTP_ApacheCommonsNet_Samples.java,69,75,sample,FTP_ApacheCommonsNet_Samples.java,25,31,sample,FTP_ApacheCommonsNet_Samples.java,47,53,sample,FTP_ApacheCommonsNet_Samples.java,11,16,sample,FTP_ApacheCommonsNet_Samples.java,18,23,sample,FTP_ApacheCommonsNet_Samples.java,33,38,sample,FTP_FTP4J_Samples.java,15,20,sample,FTP_ApacheCommonsNet_Samples.java,40,45,sample,FTP_FTP4J_Samples.java,22,27,selected,2422816.java,58,79,selected,1120436.java,19,25,selected,617041.java,52,57,selected,2547913.java,19,44
23677175,sample,Fibonacci.java,3,10,sample,Fibonacci.java,3,10,selected,638110.java,10,23,selected,2380110.java,10,23,selected,2156644.java,5,13,selected,843174.java,11,18,selected,382193.java,34,40,selected,592330.java,365,370,selected,592330.java,393,398,default,128858.java,14,20,selected,504976.java,158,168,selected,1517928.java,43,49,selected,1940610.java,80,91,selected,843174.java,20,28,selected,1945232.java,43,50,selected,1809952.java,252,261
23677130,sample,FTP_ApacheCommonsNet_Samples.java,69,75,sample,FTP_ApacheCommonsNet_Samples.java,69,75,sample,FTP_ApacheCommonsNet_Samples.java,55,60,sample,FTP_ApacheCommonsNet_Samples.java,62,67,sample,FTP_ApacheCommonsNet_Samples.java,25,31,sample,FTP_ApacheCommonsNet_Samples.java,47,53,sample,FTP_ApacheCommonsNet_Samples.java,11,16,sample,FTP_ApacheCommonsNet_Samples.java,33,38,sample,FTP_ApacheCommonsNet_Samples.java,18,23,sample,FTP_FTP4J_Samples.java,15,20,sample,FTP_ApacheCommonsNet_Samples.java,40,45,sample,FTP_FTP4J_Samples.java,22,27,selected,502121.java,187,209,selected,617041.java,52,57,selected,1120436.java,19,25,selected,2422816.java,58,79
23677112,sample,DownloadWebpage.java,32,53,sample,DownloadWebpage.java,32,53,selected,2621331.java,317,324,selected,1481489.java,317,324,selected,799193.java,16,27,selected,1278546.java,80,97,selected,1754641.java,88,104,selected,2150352.java,151,167,selected,318003.java,25,50,selected,474427.java,82,105,sample,DownloadWebpage.java,20,30,default,107947.java,47,58,selected,106905.java,59,76,selected,1509814.java,33,39,selected,2184855.java,143,161,selected,2430119.java,46,57
23677127,sample,FTP_ApacheCommonsNet_Samples.java,47,53,sample,FTP_ApacheCommonsNet_Samples.java,47,53,sample,FTP_ApacheCommonsNet_Samples.java,33,38,sample,FTP_ApacheCommonsNet_Samples.java,40,45,sample,FTP_ApacheCommonsNet_Samples.java,25,31,sample,FTP_ApacheCommonsNet_Samples.java,11,16,sample,FTP_FTP4J_Samples.java,15,20,sample,FTP_ApacheCommonsNet_Samples.java,18,23,sample,FTP_FTP4J_Samples.java,22,27,sample,FTP_ApacheCommonsNet_Samples.java,69,75,sample,FTP_ApacheCommonsNet_Samples.java,55,60,sample,FTP_ApacheCommonsNet_Samples.java,62,67,selected,502121.java,187,209,selected,1693302.java,29,43,selected,617041.java,52,57,selected,14032.java,23,34
23677117,sample,CopyFileSamples.java,55,61,sample,CopyFileSamples.java,55,61,sample,CopyFileSamples.java,63,69,selected,1751716.java,111,123,selected,384761.java,135,152,selected,776949.java,14,24,selected,352380.java,151,170,selected,60460.java,65,77,selected,1318150.java,76,88,selected,574710.java,21,35,selected,757911.java,21,31,selected,734567.java,14,24,sample,CopyFileSamples.java,42,53,selected,1082721.java,155,168,selected,1704283.java,46,56,selected,419813.java,77,92
23677198,sample,FileChooser.java,96,123,sample,FileChooser.java,96,123,sample,FileChooser.java,67,94,sample,FileChooser.java,38,65,sample,FileChooser.java,9,36,selected,3367.java,25,32,selected,1073801.java,63,71,selected,1065981.java,320,326,selected,33936.java,324,333,selected,2433758.java,171,180,selected,672901.java,395,404,selected,1065981.java,310,318,selected,285082.java,277,291,selected,1782818.java,121,130,selected,2218241.java,69,77,selected,1729645.java,53,68
23677162,sample,LoadFont.java,14,19,sample,LoadFont.java,14,19,sample,LoadFont.java,21,26,selected,2064356.java,208,224,selected,2261893.java,1191,1198,default,131555.java,11,20,selected,337839.java,26,45,selected,948406.java,326,355,selected,1846343.java,89,101,selected,2340916.java,398,427,selected,831592.java,34,54,selected,2615621.java,14,30,selected,864100.java,64,90,selected,2055524.java,27,45,selected,30471.java,48,63,selected,1861123.java,65,91
